InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
INV501046,SC61356,PACK OF 12 LONDON TISSUES,1,2022-04-07 05:56:02.352470,1.94,C1071,United Kingdom,1.94
INV501047,SC20789,CAT BOWL PINK,13,2022-07-24 14:21:34.818963,5.88,C1481,United Kingdom,76.44
INV501048,SC76656,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2022-04-18 21:55:33.546709,1.78,C1360,United Kingdom,1.78
INV501049,SC54028,CHRISTMAS GINGHAM STAR,5,2022-02-14 04:28:10.898179,0.6,C1387,United Kingdom,3.0
INV501050,SC74484,PARTY BUNTING,5,2022-06-08 05:23:29.321864,1.46,C1267,United Kingdom,7.3
INV501051,SC42154,COLOURING PENCILS BROWN TUBE,14,2023-12-13 19:00:42.488497,14.3,C1313,United Kingdom,200.20000000000002
INV501052,SC92870,BROCADE RING PURSE,14,2023-04-09 14:10:55.331066,3.89,C1094,United Kingdom,54.46
INV501053,SC12336,BLUE POLKADOT MADELEINE GIFT BAG,8,2022-06-26 10:52:44.312862,7.43,C1394,United Kingdom,59.44
INV501054,SC77779,PACK OF 6 BIRDY GIFT TAGS,4,2023-03-19 10:41:47.541508,4.97,C1356,United Kingdom,19.88
INV501055,SC29029,REGENCY CAKESTAND 3 TIER,7,2022-02-03 05:58:37.903580,2.83,C1363,USA,19.810000000000002
INV501056,SC69201,SMALL HEART FLOWERS HOOK,19,2023-03-31 20:11:16.935387,0.98,C1314,United Kingdom,18.62
INV501057,SC42265,PACK OF 6 BIRDY GIFT TAGS,15,2022-09-28 08:48:52.426485,1.79,C1116,United Kingdom,26.85
INV501058,SC53872,BLUE POLKADOT MADELEINE GIFT BAG,4,2022-02-08 22:28:23.860772,3.13,C1163,France,12.52
INV501059,SC56197,PLASTERS IN TIN VINTAGE PAISLEY,19,2023-02-09 12:43:21.160232,6.64,C1364,Switzerland,126.16
INV501060,SC65180,PARTY BUNTING,9,2023-02-20 11:12:54.154830,1.44,C1277,United Kingdom,12.959999999999999
INV501061,SC33710,IVORY KNITTED MUG COSY,13,2023-09-27 05:03:54.046809,0.89,C1064,Portugal,11.57
INV501062,SC39486,IVORY KNITTED MUG COSY,14,2023-12-26 01:00:12.242448,2.95,C1305,United Kingdom,41.300000000000004
,SC81907,CERAMIC STAR XMAS DECORATION,14,2022-11-08 04:47:11.606321,1.08,C1259,United Kingdom,15.120000000000001
INV501064,SC81895,ROUND SNACK BOXES SET OF 4 WOODLAND,10,2023-05-20 10:09:14.510902,3.33,C1227,United Kingdom,33.3
INV501065,SC74435,JUMBO BAG RED RETROSPOT,16,2022-11-27 21:16:22.996599,1.42,C1199,Germany,22.72
INV501066,SC50631,ZINC WILLIE WINKIE  CANDLE STICK,5,2022-05-25 05:24:03.888777,1.29,C1472,United Kingdom,6.45
INV501067,SC30103,JUMBO STORAGE BAG SUKI,6,2023-10-18 01:33:02.556511,2.03,C1219,France,12.18
INV501068,SC74772,IVORY KNITTED MUG COSY,2,2022-05-17 15:24:22.612522,3.2,C1179,United Kingdom,6.4
INV501069,SC24382,DOORSTOP UNION JACK,13,2022-03-06 00:27:21.928385,2.86,C1357,France,37.18
INV501071,SC13756,SMALL HEART FLOWERS HOOK,19,2022-10-20 16:17:57.335467,7.15,C1483,United Kingdom,135.85
INV501072,SC30609,ALARM CLOCK BAKELIKE PINK,18,2023-05-03 19:09:55.559111,0.85,C1251,Germany,15.299999999999999
INV501073,SC26478,WHITE HANGING HEART T-LIGHT HOLDER,19,2023-08-26 06:35:12.902580,0.62,C1298,France,11.78
INV501074,SC49666,SMALL HEART FLOWERS HOOK,1,2023-12-04 07:31:05.893178,3.27,C1360,United Kingdom,3.27
INV501075,SC85683,MEDIUM CERAMIC TOP STORAGE JAR,8,2023-06-30 20:07:32.250450,0.9,C1429,Belgium,7.2
INV501076,SC81315,SMALL HEART FLOWERS HOOK,16,2022-03-17 12:56:53.482696,2.61,C1003,Netherlands,41.76
INV501077,SC87834,PACK OF 72 RETROSPOT CAKE CASES,2,2022-02-09 01:58:23.500700,9.6,C1140,United Kingdom,19.2
INV501078,SC24153,SET OF 3 CAKE TINS PANTRY DESIGN,8,2023-11-22 05:01:35.779155,4.1,C1165,USA,32.8
INV501079,SC86325,SET OF 3 CAKE TINS PANTRY DESIGN,6,2023-09-03 07:04:53.098619,3.38,C1253,France,20.28
INV501080,SC22999,ZINC WILLIE WINKIE  CANDLE STICK,16,2022-07-22 09:51:40.220044,3.07,C1428,United Kingdom,49.12
INV501081,SC65318,VINTAGE UNION JACK MEMOBOARD,11,2022-09-05 00:49:50.038007,1.09,C1152,United Kingdom,11.99
INV501082,SC10814,PLASTERS IN TIN SKULL,17,2023-04-23 07:10:21.484296,2.2,C1066,United Kingdom,37.400000000000006
INV501083,SC86077,CERAMIC STAR XMAS DECORATION,19,2022-07-22 13:21:39.859971,1.76,C1054,United Kingdom,33.44
INV501084,SC12443,RED RETROSPOT MINI CASES,11,2023-07-18 15:06:48.321664,9.68,C1095,United Kingdom,106.47999999999999
INV501085,SC85993,COLOURING PENCILS BROWN TUBE,8,2023-03-18 17:11:49.341868,1.33,C1166,United Kingdom,10.64
INV501086,SC85916,METAL SIGN TAKE IT OR LEAVE IT,4,2022-12-07 12:15:59.231846,2.41,C1320,France,9.64
INV501087,SC83319,CHRISTMAS GINGHAM STAR,11,2023-06-20 18:37:57.095419,8.85,C1330,United Kingdom,97.35
INV501088,SC27368,COLOURING PENCILS BROWN TUBE,8,2023-10-30 07:32:32.310462,5.17,C1385,Belgium,41.36
INV501089,SC25328,IVORY KNITTED MUG COSY,9,2022-03-14 21:56:59.963992,10.52,C1452,United Kingdom,94.67999999999999
INV501090,SC66942,NOTEBOOK A7 IVORY,2,2022-08-31 05:20:01.920384,3.31,C1375,United Kingdom,6.62
INV501091,SC37306,LARGE CHINESE STYLE BOWL,16,2022-11-03 02:17:24.208841,1.72,C1341,Spain,27.52
INV501092,SC95451,DOORMAT NEW ENGLAND,6,2022-01-15 20:59:23.272654,5.76,C1061,Germany,34.56
INV501093,SC49915,COLOURING PENCILS BROWN TUBE,19,2023-02-05 10:43:31.242248,1.53,C1173,United Kingdom,29.07
INV501094,SC47219,JUMBO STORAGE BAG SUKI,8,2023-04-23 17:40:20.404080,1.04,C1252,United Kingdom,8.32
INV501095,SC90879,IVORY KNITTED MUG COSY,14,2023-03-26 21:11:29.177835,4.18,C1460,United Kingdom,58.519999999999996
INV501096,SC74644,BAG 250g SWIRLY MARBLES,16,2023-05-31 19:08:46.425285,3.56,C1111,Germany,56.96
INV501097,SC70279,BLUE POLKADOT MADELEINE GIFT BAG,12,2022-07-13 12:22:02.184436,6.83,C1214,United Kingdom,81.96000000000001
INV501098,SC63028,HAND WARMER UNION JACK,5,2022-12-27 18:45:09.181836,10.3,C1238,Netherlands,51.5
INV501099,SC10126,RECYCLED ACAPULCO MAT,19,2022-09-02 20:19:55.439087,6.34,C1414,Germany,120.46
INV501100,SC62329,JUMBO STORAGE BAG SUKI,18,2023-07-01 06:37:31.170234,0.69,C1226,United Kingdom,12.419999999999998
INV501101,SC37632,STAINLESS STEEL KITCHEN COLANDER,9,2023-01-09 14:44:37.495499,3.78,C1229,United Kingdom,34.019999999999996
INV501102,SC75310,LARGE CHINESE STYLE BOWL,2,2023-08-31 02:05:01.020204,5.11,C1232,United Kingdom,10.22
INV501103,SC65176,FANCY FONT HOME SWEET HOME DOORMAT,12,2023-04-29 17:10:05.641128,12.54,C1162,United Kingdom,150.48
INV501104,SC96066,HEART OF WICKER SMALL,2,2022-12-22 05:45:22.864572,1.91,C1125,United Kingdom,3.82
INV501105,SC54327,JUMBO BAG RED RETROSPOT,10,2022-02-14 18:28:09.457891,1.06,C1428,United Kingdom,10.600000000000001
INV501106,SC78904,BLUE POLKADOT MADELEINE GIFT BAG,1,2023-08-06 17:36:01.152230,6.25,C1252,Netherlands,6.25
INV501107,SC13797,ZINC WILLIE WINKIE  CANDLE STICK,4,2022-06-08 19:23:27.881576,1.65,C1332,United Kingdom,6.6
INV501108,SC57882,METAL SIGN TAKE IT OR LEAVE IT,12,2023-10-27 06:02:39.871974,3.24,C1437,USA,38.88
INV501109,SC23718,ASSORTED COLOUR BIRD ORNAMENT,9,2022-12-16 02:45:37.987597,1.98,C1198,United Kingdom,17.82
INV501110,SC44560,ALARM CLOCK BAKELIKE PINK,4,2023-08-07 21:35:58.271654,2.04,C1196,United Kingdom,8.16
INV501111,SC86589,FANCY FONT HOME SWEET HOME DOORMAT,9,2022-04-08 02:56:00.192038,4.46,C1121,France,40.14
INV501112,SC32116,METAL SIGN TAKE IT OR LEAVE IT,6,2023-08-31 02:05:01.020204,1.85,C1412,Spain,11.100000000000001
INV501114,SC11645,GIRLS ALPHABET IRON ON PATCHES,10,2022-06-30 05:52:34.950990,0.54,C1263,Netherlands,5.4
INV501115,SC57523,COLOURING PENCILS BROWN TUBE,14,2022-08-25 16:20:15.603120,1.68,C1053,Portugal,23.52
INV501116,SC29256,LARGE CHINESE STYLE BOWL,18,2022-07-20 08:51:45.261052,1.65,C1134,Netherlands,29.7
INV501117,SC63173,ZINC WILLIE WINKIE  CANDLE STICK,6,2023-04-28 20:10:07.801560,4.64,C1338,United Kingdom,27.839999999999996
INV501118,SC47430,CHRISTMAS GINGHAM STAR,18,2022-01-26 15:58:56.627325,1.63,C1358,Belgium,29.339999999999996
INV501119,SC49282,ROUND SNACK BOXES SET OF 4 WOODLAND,16,2022-07-17 07:21:52.822564,3.51,C1150,Spain,56.16
INV501120,SC73374,PARTY BUNTING,15,2023-03-03 23:42:25.709141,4.0,C1099,France,60.0
INV501121,SC78244,METAL SIGN TAKE IT OR LEAVE IT,16,2022-04-02 03:26:14.954990,3.72,C1233,Netherlands,59.52
INV501122,SC21694,PARTY BUNTING,8,2023-01-23 00:44:04.368873,3.27,C1031,USA,26.16
INV501123,SC66264,LARGE LETTER BOX KINGS ROAD,13,2023-06-11 03:38:20.860172,2.1,C1061,United Kingdom,27.3
INV501124,SC85060,JUMBO BAG WOODLAND ANIMALS,11,2023-06-26 18:07:42.332466,1.9,C1428,United Kingdom,20.9
INV501125,SC67545,STAINLESS STEEL KITCHEN COLANDER,7,2023-09-16 06:34:21.052210,2.99,C1195,United Kingdom,20.93
INV501126,SC49224,PLASTERS IN TIN SKULL,17,2022-02-27 10:57:38.131626,0.7,C1029,United Kingdom,11.899999999999999
INV501127,SC23224,CERAMIC STAR XMAS DECORATION,18,2022-06-20 07:52:59.435887,6.76,C1242,United Kingdom,121.67999999999999
INV501128,SC50738,JUMBO BAG RED RETROSPOT,19,2023-12-26 22:00:10.082016,5.73,C1105,Germany,108.87
INV501129,SC35150,ZINC WILLIE WINKIE  CANDLE STICK,13,2022-01-29 17:28:49.065813,1.78,C1294,United Kingdom,23.14
INV501130,SC73731,SET OF 3 CAKE TINS PANTRY DESIGN,15,2022-05-22 03:54:11.450290,3.01,C1132,France,45.15
INV501131,SC59688,NOTEBOOK A7 IVORY,1,2023-07-24 21:36:32.838567,8.57,C1450,Belgium,8.57
INV501132,SC83509,GINGERBREAD MAN COOKIE CUTTER,16,2023-04-06 02:11:03.972794,1.45,C1021,United Kingdom,23.2
INV501133,SC18577,RECYCLED ACAPULCO MAT,5,2023-11-26 17:31:24.616923,4.57,C1155,Australia,22.85
INV501134,SC18070,PACK OF 12 LONDON TISSUES,3,2023-01-01 03:44:58.379675,0.76,C1405,United Kingdom,2.2800000000000002
INV501135,SC18666,CHRISTMAS GINGHAM STAR,10,2022-07-06 01:52:20.548109,2.72,C1383,Switzerland,27.200000000000003
INV501136,SC67761,NATURAL SLATE HEART CHALKBOARD,19,2023-08-31 16:04:59.579915,6.96,C1213,Belgium,132.24
INV501137,SC46368,BLUE POLKADOT MADELEINE GIFT BAG,5,2023-09-22 16:34:05.209041,2.91,C1225,United Kingdom,14.55
INV501138,SC16783,MAGIC DRAWING SLATE,7,2022-07-05 01:22:23.068613,3.37,C1284,United Kingdom,23.59
INV501139,SC51914,SET 12 COLOUR PENCILS DOLLY GIRL,14,2022-07-18 21:51:48.861772,7.65,C1170,United Kingdom,107.10000000000001
INV501140,SC80507,MAGIC DRAWING SLATE,3,2022-05-15 14:24:27.653530,4.27,C1041,Belgium,12.809999999999999
INV501141,SC89026,LARGE LETTER BOX KINGS ROAD,13,2022-03-10 12:57:10.766153,4.07,C1059,Belgium,52.910000000000004
INV501142,SC77526,HAND WARMER UNION JACK,13,2023-03-16 19:41:54.022804,3.15,C1374,United Kingdom,40.949999999999996
INV501143,SC80835,PACK OF 72 RETROSPOT CAKE CASES,10,2022-10-27 12:47:40.412082,3.51,C1076,Germany,35.099999999999994
INV501144,SC55765,CERAMIC STAR XMAS DECORATION,2,2023-09-17 14:04:17.811562,5.38,C1454,United Kingdom,10.76
INV501145,SC29956,SET 12 COLOUR PENCILS DOLLY GIRL,6,2022-10-27 02:17:41.492298,12.12,C1201,United Kingdom,72.72
INV501146,SC97895,LUNCH BAG RED RETROSPOT,8,2023-03-07 18:42:16.347269,5.26,C1219,USA,42.08
INV501147,SC56240,MEDIUM CERAMIC TOP STORAGE JAR,4,2022-06-17 09:53:06.637327,4.19,C1451,United Kingdom,16.76
INV501148,SC47148,LUNCH BAG RED RETROSPOT,12,2023-03-27 00:41:28.817763,0.94,C1186,USA,11.28
INV501149,SC14757,NOTEBOOK A7 IVORY,15,2022-05-20 20:24:14.690938,5.6,C1095,Belgium,84.0
INV501151,SC20395,DOORMAT NEW ENGLAND,7,2022-04-23 20:55:21.304260,4.91,C1211,United Kingdom,34.370000000000005
INV501152,SC26241,BLUE POLKADOT MADELEINE GIFT BAG,14,2022-02-22 08:27:50.734146,1.29,C1367,United Kingdom,18.060000000000002
INV501153,SC37696,HEART OF WICKER SMALL,19,2022-03-17 09:26:53.842768,7.51,C1339,United Kingdom,142.69
INV501154,SC80480,ALARM CLOCK BAKELIKE PINK,14,2022-07-15 20:21:56.423284,0.81,C1261,Netherlands,11.34
INV501155,SC56163,STAINLESS STEEL KITCHEN COLANDER,13,2022-10-15 03:18:11.018203,1.38,C1328,France,17.939999999999998
INV501156,SC29816,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2023-04-16 14:10:38.047609,3.76,C1411,United Kingdom,3.76
INV501157,SC59840,ASSORTED COLOUR BIRD ORNAMENT,19,2023-02-27 18:12:36.151230,3.86,C1076,Spain,73.34
INV501158,SC62853,RED RETROSPOT MINI CASES,1,2022-05-17 04:54:23.692738,1.63,C1030,United Kingdom,1.63
INV501159,SC34917,DOORMAT NEW ENGLAND,4,2022-10-17 14:48:04.896979,4.13,C1038,United Kingdom,16.52
INV501160,SC31566,MAGIC DRAWING SLATE,10,2023-12-30 13:30:01.080216,1.97,C1305,United Kingdom,19.7
INV501161,SC85452,STAINLESS STEEL KITCHEN COLANDER,3,2022-02-24 19:57:44.612922,0.5,C1333,United Kingdom,1.5
INV501163,SC30806,CAT BOWL PINK,3,2022-09-16 16:49:21.232246,6.93,C1125,United Kingdom,20.79
INV501164,SC85520,SET OF 3 CAKE TINS PANTRY DESIGN,6,2022-08-08 11:20:58.091618,1.26,C1164,Switzerland,7.5600000000000005
INV501165,SC11759,JUMBO STORAGE BAG SUKI,6,2023-01-23 00:44:04.368873,0.86,C1245,Spain,5.16
INV501166,SC51949,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2022-05-28 06:53:56.327265,3.94,C1108,United Kingdom,47.28
INV501167,SC12482,GIRLS ALPHABET IRON ON PATCHES,1,2023-05-23 01:09:08.029605,2.24,C1087,Netherlands,2.24
INV501168,SC34442,STRAWBERRY CERAMIC TRINKET BOX,16,2022-06-29 08:52:37.111422,5.28,C1199,Germany,84.48
INV501169,SC43719,STAINLESS STEEL KITCHEN COLANDER,5,2022-06-21 15:22:56.195239,6.43,C1270,United Kingdom,32.15
,SC68066,RED RETROSPOT MINI CASES,9,2023-07-17 11:06:51.202240,6.11,C1050,Netherlands,54.99
INV501171,SC12079,ASSORTED COLOUR BIRD ORNAMENT,10,2022-11-02 12:17:25.649129,1.63,C1488,France,16.299999999999997
INV501172,SC12717,VINTAGE UNION JACK MEMOBOARD,13,2022-09-01 19:49:57.959591,2.61,C1197,Germany,33.93
INV501173,SC69676,VINTAGE UNION JACK MEMOBOARD,15,2022-10-09 03:48:25.781156,3.65,C1022,Germany,54.75
INV501174,SC37952,CHILDRENS CUTLERY DOLLY GIRL,12,2023-07-14 20:06:57.683536,1.67,C1152,France,20.04
INV501175,SC96444,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,2023-04-09 10:40:55.691138,0.63,C1222,United Kingdom,3.15
INV501176,SC52460,PARTY BUNTING,5,2023-09-15 09:34:23.212642,2.55,C1429,Switzerland,12.75
INV501177,SC82847,RECYCLED ACAPULCO MAT,18,2023-01-08 07:14:40.736147,0.54,C1220,United Kingdom,9.72
INV501178,SC99106,ASSORTED COLOUR BIRD ORNAMENT,12,2022-12-23 13:15:19.623924,9.53,C1150,Portugal,114.35999999999999
INV501179,SC28449,PACK OF 72 RETROSPOT CAKE CASES,3,2023-10-03 01:03:39.643928,5.28,C1265,United Kingdom,15.84
INV501180,SC43536,VINTAGE UNION JACK MEMOBOARD,7,2022-03-22 08:26:41.600320,1.14,C1072,United Kingdom,7.9799999999999995
INV501181,SC74077,MEDIUM CERAMIC TOP STORAGE JAR,17,2023-02-27 11:12:36.871374,1.52,C1368,Germany,25.84
INV501182,SC48258,PACK OF 12 LONDON TISSUES,19,2022-06-01 12:23:45.885177,12.7,C1076,United Kingdom,241.29999999999998
INV501183,SC58302,STRAWBERRY CERAMIC TRINKET BOX,18,2022-05-09 21:54:41.696339,1.9,C1031,Belgium,34.199999999999996
INV501184,SC38865,ASSORTED COLOUR BIRD ORNAMENT,1,2023-03-21 22:11:41.420284,5.09,C1368,United Kingdom,5.09
INV501185,SC16645,PACK OF 6 BIRDY GIFT TAGS,5,2023-09-09 17:04:37.255451,2.28,C1434,France,11.399999999999999
INV501186,SC48000,HAND WARMER UNION JACK,2,2023-12-11 14:30:47.889577,6.49,C1492,United Kingdom,12.98
INV501187,SC36737,NATURAL SLATE HEART CHALKBOARD,1,2023-06-09 13:08:24.820964,4.15,C1424,United Kingdom,4.15
INV501188,SC21485,STRAWBERRY CERAMIC TRINKET BOX,7,2023-01-08 14:14:40.016003,0.57,C1064,United Kingdom,3.9899999999999998
INV501189,SC48565,ALARM CLOCK BAKELIKE PINK,11,2022-06-08 19:23:27.881576,1.55,C1448,Germany,17.05
INV501190,SC35522,HEART OF WICKER SMALL,11,2023-10-30 04:02:32.670534,2.95,C1356,France,32.45
INV501191,SC75155,ALARM CLOCK BAKELIKE PINK,18,2023-12-25 00:30:14.762952,8.32,C1423,Germany,149.76
INV501192,SC65168,GIRLS ALPHABET IRON ON PATCHES,17,2022-03-08 18:57:15.087017,0.82,C1017,USA,13.94
INV501193,SC62487,JUMBO BAG WOODLAND ANIMALS,2,2023-11-20 11:01:40.100020,3.26,C1163,France,6.52
INV501194,SC22342,PLASTERS IN TIN VINTAGE PAISLEY,7,2023-09-13 08:34:28.253650,1.58,C1286,USA,11.06
INV501195,SC50806,CERAMIC STAR XMAS DECORATION,7,2022-10-20 16:17:57.335467,7.1,C1053,United Kingdom,49.699999999999996
INV501196,SC58770,PLASTERS IN TIN SKULL,10,2022-10-07 23:48:28.661732,4.85,C1062,United Kingdom,48.5
INV501197,SC88623,LARGE LETTER BOX KINGS ROAD,3,2023-10-23 04:02:49.953990,1.88,C1256,United Kingdom,5.64
INV501198,SC85629,COLOURING PENCILS BROWN TUBE,12,2022-05-27 06:23:58.847769,1.05,C1238,United Kingdom,12.600000000000001
INV501199,SC62603,ZINC WILLIE WINKIE  CANDLE STICK,3,2023-03-26 14:11:29.897979,0.53,C1435,United Kingdom,1.59
INV501200,SC91974,WHITE HANGING HEART T-LIGHT HOLDER,11,2022-11-05 06:47:18.807761,3.41,C1483,United Kingdom,37.510000000000005
INV501201,SC36399,DOORMAT NEW ENGLAND,12,2023-01-13 13:14:27.773554,2.06,C1440,Germany,24.72
INV501202,SC95382,FANCY FONT HOME SWEET HOME DOORMAT,4,2022-11-09 12:17:08.365673,1.63,C1008,Netherlands,6.52
INV501203,SC91244,PACK OF 12 LONDON TISSUES,16,2023-09-21 12:34:08.089617,13.2,C1469,USA,211.2
INV501204,SC86534,REGENCY CAKESTAND 3 TIER,18,2022-11-23 19:16:33.078615,2.38,C1119,Portugal,42.839999999999996
INV501205,SC65106,VINTAGE UNION JACK MEMOBOARD,4,2023-12-28 05:30:06.841368,4.66,C1347,United Kingdom,18.64
INV501206,SC40678,LARGE LETTER BOX KINGS ROAD,6,2022-11-01 04:47:28.889777,1.09,C1089,United Kingdom,6.540000000000001
INV501207,SC86218,GINGERBREAD MAN COOKIE CUTTER,15,2022-05-17 18:54:22.252450,0.54,C1371,United Kingdom,8.100000000000001
INV501208,SC73230,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2023-09-20 05:04:11.330266,2.12,C1457,United Kingdom,2.12
INV501209,SC84055,JUMBO STORAGE BAG SUKI,3,2023-08-02 22:36:10.514102,3.79,C1311,United Kingdom,11.370000000000001
INV501210,SC66373,GINGERBREAD MAN COOKIE CUTTER,5,2023-08-07 04:06:00.072014,2.62,C1174,Germany,13.100000000000001
INV501211,SC41480,BROCADE RING PURSE,17,2023-11-10 02:32:05.665133,7.13,C1002,United Kingdom,121.21
INV501212,SC95230,SMALL HEART FLOWERS HOOK,14,2023-05-12 23:39:32.874574,2.21,C1129,France,30.939999999999998
INV501213,SC78836,REGENCY CAKESTAND 3 TIER,9,2022-04-23 06:55:22.744548,1.62,C1053,Netherlands,14.580000000000002
INV501214,SC82258,PACK OF 6 BIRDY GIFT TAGS,3,2022-02-06 03:58:30.702140,7.93,C1292,United Kingdom,23.79
INV501215,SC49986,NATURAL SLATE HEART CHALKBOARD,13,2022-02-24 05:57:46.053210,2.07,C1183,United Kingdom,26.909999999999997
INV501216,SC34160,PLASTERS IN TIN VINTAGE PAISLEY,3,2023-03-03 16:42:26.429285,1.44,C1414,Australia,4.32
INV501217,SC95595,DOORSTOP UNION JACK,11,2023-07-17 11:06:51.202240,0.81,C1352,United Kingdom,8.91
INV501218,SC89111,MEDIUM CERAMIC TOP STORAGE JAR,2,2023-12-20 22:30:24.844969,5.23,C1223,United Kingdom,10.46
INV501219,SC74929,FANCY FONT HOME SWEET HOME DOORMAT,15,2022-04-13 05:25:47.589517,5.73,C1490,United Kingdom,85.95
INV501220,SC83506,SET OF 3 CAKE TINS PANTRY DESIGN,13,2022-11-15 15:16:53.242648,0.6,C1011,United Kingdom,7.8
INV501221,SC44911,PAPER CHAIN KIT VINTAGE CHRISTMAS,19,2022-05-18 05:24:21.172234,1.83,C1441,United Kingdom,34.77
INV501222,SC97127,LUNCH BAG RED RETROSPOT,16,2023-07-25 18:36:30.678135,4.66,C1194,Belgium,74.56
INV501223,SC41821,FANCY FONT HOME SWEET HOME DOORMAT,18,2022-04-26 15:25:14.462892,9.28,C1246,United Kingdom,167.04
INV501224,SC85039,GINGERBREAD MAN COOKIE CUTTER,7,2022-04-09 17:25:56.231246,1.92,C1367,United Kingdom,13.44
INV501225,SC70535,METAL SIGN TAKE IT OR LEAVE IT,13,2022-08-16 15:20:37.927585,6.67,C1153,United Kingdom,86.71
INV501226,SC94458,STRAWBERRY CERAMIC TRINKET BOX,4,2023-08-15 01:05:40.628125,2.0,C1077,Spain,8.0
INV501227,SC22175,FANCY FONT HOME SWEET HOME DOORMAT,9,2022-03-07 21:57:17.247449,1.09,C1139,United Kingdom,9.81
INV501228,SC64771,NATURAL SLATE HEART CHALKBOARD,10,2022-12-26 14:45:12.062412,0.51,C1499,United Kingdom,5.1
INV501229,SC96925,MAGIC DRAWING SLATE,9,2023-06-18 03:38:03.576715,1.7,C1089,Germany,15.299999999999999
INV501230,SC76358,METAL SIGN TAKE IT OR LEAVE IT,7,2023-08-28 14:35:07.141428,1.93,C1143,United Kingdom,13.51
INV501231,SC27327,MAGIC DRAWING SLATE,15,2023-07-02 10:37:28.289657,9.21,C1436,United Kingdom,138.15
INV501232,SC57057,BAG 250g SWIRLY MARBLES,8,2022-01-31 11:28:44.744948,1.19,C1071,United Kingdom,9.52
INV501233,SC16150,SET 12 COLOUR PENCILS DOLLY GIRL,19,2023-12-28 16:00:05.761152,1.94,C1432,Spain,36.86
INV501234,SC14425,PAPER CHAIN KIT VINTAGE CHRISTMAS,11,2022-10-08 20:48:26.501300,0.58,C1176,USA,6.38
INV501235,SC26032,HAND WARMER UNION JACK,5,2023-12-23 03:00:19.443888,4.83,C1347,United Kingdom,24.15
INV501236,SC12198,FELT CHRISTMAS TREE WITH BAUBLES,2,2023-08-02 08:36:11.954390,7.9,C1262,United Kingdom,15.8
INV501237,SC70500,SET 12 COLOUR PENCILS DOLLY GIRL,10,2022-10-01 17:18:44.144828,1.31,C1270,United Kingdom,13.100000000000001
INV501238,SC63394,CHILDRENS CUTLERY DOLLY GIRL,16,2022-04-02 06:56:14.594918,2.18,C1104,Netherlands,34.88
INV501239,SC30079,MAGIC DRAWING SLATE,13,2023-02-02 12:43:38.443688,0.89,C1419,Germany,11.57
INV501240,SC46220,LARGE CHINESE STYLE BOWL,8,2022-08-01 14:51:15.015003,2.33,C1071,Spain,18.64
INV501241,SC51874,PARTY BUNTING,9,2023-02-16 19:43:03.156631,0.93,C1073,France,8.370000000000001
INV501242,SC23859,REGENCY CAKESTAND 3 TIER,11,2022-07-02 06:52:29.909981,2.72,C1142,Australia,29.92
INV501243,SC60460,JUMBO BAG WOODLAND ANIMALS,11,2023-11-25 20:31:26.777355,4.48,C1061,Portugal,49.28
INV501244,SC41419,PACK OF 6 BIRDY GIFT TAGS,16,2023-09-29 06:03:49.005801,2.92,C1145,Spain,46.72
INV501245,SC18705,ASSORTED COLOUR BIRD ORNAMENT,10,2022-11-12 10:17:01.164232,1.34,C1045,United Kingdom,13.4
INV501246,SC52880,SMALL HEART FLOWERS HOOK,12,2022-08-25 16:20:15.603120,1.81,C1228,United Kingdom,21.72
INV501247,SC33236,VINTAGE UNION JACK MEMOBOARD,6,2022-09-28 05:18:52.786557,3.55,C1104,United Kingdom,21.299999999999997
INV501248,SC97955,SET OF 3 CAKE TINS PANTRY DESIGN,12,2022-04-20 19:25:28.865773,3.17,C1108,United Kingdom,38.04
INV501249,SC95514,PACK OF 12 LONDON TISSUES,10,2022-09-30 09:48:47.385477,0.94,C1316,Germany,9.399999999999999
INV501250,SC25358,PLASTERS IN TIN SKULL,18,2022-01-27 09:28:54.826965,6.09,C1120,United Kingdom,109.62
INV501251,SC86918,PACK OF 6 BIRDY GIFT TAGS,18,2022-08-09 15:20:55.211042,2.43,C1498,France,43.74
INV501252,SC24596,BLUE POLKADOT MADELEINE GIFT BAG,4,2022-05-12 12:54:35.215043,1.03,C1042,United Kingdom,4.12
INV501253,SC43572,IVORY KNITTED MUG COSY,9,2023-05-03 15:39:55.919183,0.89,C1427,Germany,8.01
INV501254,SC88757,PACK OF 72 RETROSPOT CAKE CASES,7,2023-05-19 13:09:16.671334,10.6,C1098,United Kingdom,74.2
INV501255,SC11279,STRAWBERRY CERAMIC TRINKET BOX,18,2023-06-11 00:08:21.220244,1.49,C1193,United Kingdom,26.82
INV501257,SC72516,GINGERBREAD MAN COOKIE CUTTER,11,2022-11-08 22:17:09.805961,2.09,C1213,Portugal,22.99
INV501258,SC17083,CHILDRENS CUTLERY DOLLY GIRL,7,2023-09-11 21:34:31.854370,1.96,C1462,United Kingdom,13.719999999999999
